Key,File,Type,UsedInMainMenu,NoTranslate,english,Context/Coverage Notes
hemsoftqol_tab_hotkeys,HemSoftQoL,Settings,False,False,Hotkeys,Tab for inventory hotkey settings
hemsoftqol_tab_infopanel,HemSoftQoL,Settings,False,False,Info Panel,Tab for HUD info panel settings
hemsoftqol_cat_quickstack,HemSoftQoL,Settings,False,False,Quick Stack,Category for Quick Stack hotkey
hemsoftqol_cat_quickstack_tt,HemSoftQoL,Settings,False,False,Deposit items that match existing stacks in the container,Tooltip for Quick Stack category
hemsoftqol_cat_stashall,HemSoftQoL,Settings,False,False,Stash All,Category for Stash All hotkey
hemsoftqol_cat_stashall_tt,HemSoftQoL,Settings,False,False,Deposit all inventory items into the container,Tooltip for Stash All category
hemsoftqol_cat_restock,HemSoftQoL,Settings,False,False,Restock,Category for Restock hotkey
hemsoftqol_cat_restock_tt,HemSoftQoL,Settings,False,False,Pull items from container to fill existing inventory stacks,Tooltip for Restock category
hemsoftqol_cat_sortcontainer,HemSoftQoL,Settings,False,False,Sort Container,Category for Sort Container hotkey
hemsoftqol_cat_sortcontainer_tt,HemSoftQoL,Settings,False,False,Sort items in the container alphabetically,Tooltip for Sort Container category
hemsoftqol_cat_sortinventory,HemSoftQoL,Settings,False,False,Sort Inventory,Category for Sort Inventory hotkey
hemsoftqol_cat_sortinventory_tt,HemSoftQoL,Settings,False,False,Sort items in your backpack alphabetically,Tooltip for Sort Inventory category
hemsoftqol_cat_elements,HemSoftQoL,Settings,False,False,Panel Elements,Category for info panel display elements
hemsoftqol_cat_elements_tt,HemSoftQoL,Settings,False,False,Choose which elements to display on the info panel,Tooltip for panel elements category
hemsoftqol_enabled,HemSoftQoL,Settings,False,False,Enabled,Setting label for enabled/disabled
hemsoftqol_enabled_tt,HemSoftQoL,Settings,False,False,Enable or disable this hotkey,Tooltip for enabled setting
hemsoftqol_modifier,HemSoftQoL,Settings,False,False,Modifier Key,Setting label for modifier key
hemsoftqol_modifier_tt,HemSoftQoL,Settings,False,False,Key that must be held while pressing the hotkey,Tooltip for modifier setting
hemsoftqol_key,HemSoftQoL,Settings,False,False,Hotkey,Setting label for the key
